"Data collected and analyzed for the article, ""Reference Rot in the Digital Humanities Literature: An Analysis of Citations Containing Website Links in DHQ,"" by Zach Coble and Jojo Karlin. Available under a Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) license; https://creativecommons.org/licenses/by-nc/4.0/.",,,,,,,,
,,,,,,,,
article_URL,article_pubDate,article_authorLN,article_authorFN,article_title,article_publication,link_citation,link_URL,link_status
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Jasper, Pete. Review of Rune Berg's The Isle of The Cult. 2005. http://www.ifreviews.org/index.php?analise=2",http://www.ifreviews.org/index.php?analise=2,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Jerz, Dennis. What is Interactive Fiction? 2000. http://jerz.setonhill.edu/if/intro.htm",http://jerz.setonhill.edu/if/intro.htm,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Jerz, Dennis. Puzzles in Interactive Fiction. 2000. http://jerz.setonhill.edu/if/Puzzles.htm",http://jerz.setonhill.edu/if/Puzzles.htm,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Jerz, Dennis. An Annotated Bibliography of Interactive Fiction Scholarship (Including Fan-Produced Criticism and Theory). 2001. http://jerz.setonhill.edu/if/bibliography/index.html",http://jerz.setonhill.edu/if/bibliography/index.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Kopteltsev, Valentine. Review of All Hope Abandon. 2006. http://sparkynet.com/spag/a.html#abandon",http://sparkynet.com/spag/a.html#abandon,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Lee, Paul. Review of All Hope Abandon. 2006. http://sparkynet.com/spag/a.html#abandon",http://sparkynet.com/spag/a.html#abandon,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Lott, J. The Fire Tower. Video Game, 2004. http://www.allthingsjacq.com/intfic_firetower.html",http://www.allthingsjacq.com/intfic_firetower.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Maher, Jimmy. Review of Rune Berg’s The Isle of the Cult. 2005. http://www.sparkynet.com/spag/i.html#isle",http://www.sparkynet.com/spag/i.html#isle,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Maher, Jimmy. Let's Tell a Story Together. 2006. http://home.grandecom.net/~maher/if-book/",http://home.grandecom.net/~maher/if-book/,"redirected, to same page"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Montfort, Nick. Towards a Theory of Interactive Fiction. 2003. http://www.nickm.com/if/toward.html",http://www.nickm.com/if/toward.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Nelson, G. The Tempest. Game based on the play by William Shakespeare. Video Game, 1997. http://www.wurb.com/if/game/316",http://www.wurb.com/if/game/316,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Nelson, G., and E. Short. Inform 7 website. 2007. http://www.inform-fiction.org/I7/Welcome.html",http://www.inform-fiction.org/I7/Welcome.html,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Nelson, G., and C. Knight. Inform 6 website. http://www.inform-fiction.org/inform6.html",http://www.inform-fiction.org/inform6.html,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Nepstad, P. The Journey of the King. Video Game, 2006. http://www.wurb.com/if/game/3000",http://www.wurb.com/if/game/3000,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Nepstad, P. The Ebb and Flow of the Tide. Video Game, 2006. http://www.wurb.com/if/game/3002",http://www.wurb.com/if/game/3002,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,rec.arts.int-fiction. FAQ 3.1. What is Interactive Fiction? rec.arts.int-fiction. 2007. http://www.plover.net/~textfire/raiffaq/online/whatisif.htm,http://www.plover.net/~textfire/raiffaq/online/whatisif.htm,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Roberts, Michael J. A Brief Introduction to Interactive Fiction. 2006. http://www.tads.org/if.htm",http://www.tads.org/if.htm,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Roberts, Michael J. GrammarProd. TADS 3 System Manual. 2007. http://www.tads.org/t3doc/doc/sysman/gramprod.htm",http://www.tads.org/t3doc/doc/sysman/gramprod.htm,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Roberts, Michael J. Text Adventure Development System. 2007. http://www.tads.org/",http://www.tads.org/,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Roberts, Michael J. Creating Dynamic Characters. TADS 3 System Manual. 2007. http://www.tads.org/t3doc/doc/techman/t3actor.htm",http://www.tads.org/t3doc/doc/techman/t3actor.htm,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Shiovitz, Dan. Review of Rune Berg’s The Isle of the Cult. 2004. http://www.drizzle.com/~dans/if/reviews.html#cult",http://www.drizzle.com/~dans/if/reviews.html#cult,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Shiovitz, Dan. Review of All Hope Abandon. 2004. http://www.drizzle.com/~dans/if/reviews.html#allhope",http://www.drizzle.com/~dans/if/reviews.html#allhope,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Short, Emily. Conversation. 2007. http://emshort.wordpress.com/writing-if/my-articles/conversation/",http://emshort.wordpress.com/writing-if/my-articles/conversation/,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Short, Emily. Characters. 2007. http://emshort.wordpress.com/reading-if/characters/",http://emshort.wordpress.com/reading-if/characters/,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Stevens, Duncan. The Player Character's Role in Game Design. Brass Lantern: The Adventure Game Website, 2001. http://brasslantern.org/writers/iftheory/pcrole.html",http://brasslantern.org/writers/iftheory/pcrole.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000010/000010.html,2007,Eve,Eric,All Hope Abandon: Biblical Text and Interactive Fiction,DHQ,"Woods, Eric. Review of Rune Berg’s The Isle of the Cult. 2005. http://www.sparkynet.com/spag/i.html#isle",http://www.sparkynet.com/spag/i.html#isle,page exists
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Bosworth, Joseph, and T. Northcote Toller. An Anglo-Saxon Dictionary: based on the manuscript collections of the late Joseph Bosworth. 1898. http://lexicon.ff.cuni.cz/html/oe_bosworthtroller/b0236.html",http://lexicon.ff.cuni.cz/html/oe_bosworthtroller/b0236.html,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Bradford, William. Of Plymouth Plantation: 1620-1647. http://www.histarch.illinois.edu/plymouth/bradford.html",http://www.histarch.illinois.edu/plymouth/bradford.html,page exists
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Cooper, James Fenimore. Pathfinder. 1840. http://www.gutenberg.org/dirs/etext99/pthfn11.txt",http://www.gutenberg.org/dirs/etext99/pthfn11.txt,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Davies, Mark. Time Magazine, 1923-2007. Brigham Young University, 2007. http://corpus.byu.edu/time",http://corpus.byu.edu/time,"redirected, to same page"
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,Unknown. The Rig Veda. Translated by Ralph T.H. Griffith. 1896. http://www.sacred-texts.com/hin/rigveda/rv06048.htm,http://www.sacred-texts.com/hin/rigveda/rv06048.htm,page exists
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Hume, David. That Politics May Be Reduced to a Science. 1748. http://www.constitution.org/dh/polscien.txt",http://www.constitution.org/dh/polscien.txt,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"More, Sir T. Utopia. 1909-1914. http://www.bartleby.com/36/3/",http://www.bartleby.com/36/3/,page exists
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Morris, William. Child Christopher. 1895. http://www.gutenberg.org/dirs/etext95/chilc10.txt",http://www.gutenberg.org/dirs/etext95/chilc10.txt,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Pope, Alexander. The Iliad. 1715-1720. http://www.gutenberg.org/dirs/etext04/iliad10a.txt",http://www.gutenberg.org/dirs/etext04/iliad10a.txt,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/1/2/000012/000012.html,2007,Hoover,David,"The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory",DHQ,"Swift, Jonathan. Horace, Book I, Ode 14. 1726. http://www.gutenberg.org/files/13621/13621-8.txt",http://www.gutenberg.org/files/13621/13621-8.txt,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/2/1/000015/000015.html,2008,Barnett,Belinda,The Technical Evolution of Vannevar Bush’s Memex,DHQ,"Eldredge 2004 Eldredge, Niles. Email interview with Belinda Barnet. March 2004. http://journal.fibreculture.org/issue3/issue3_barnet.html.",http://journal.fibreculture.org/issue3/issue3_barnet.html.,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/2/1/000015/000015.html,2008,Barnett,Belinda,The Technical Evolution of Vannevar Bush’s Memex,DHQ,HartreeDouglas. Differential Analyzer. http://athena.union.edu/~hemmendd/Encyc/Articles/Difanal/difanal.html.,http://athena.union.edu/~hemmendd/Encyc/Articles/Difanal/difanal.html.,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/2/1/000015/000015.html,2008,Barnett,Belinda,The Technical Evolution of Vannevar Bush’s Memex,DHQ,"Mindell 2000, MindellDavid A. MIT Differential Analyzer. http://web.mit.edu/mindell/www/analyzer.htm.",http://web.mit.edu/mindell/www/analyzer.htm.,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/2/1/000019/000019.html,2008,Jan Nauta,Gerhard,As You Can See: Applying Visual Collaborative Filtering to Works of Art,DHQ,"AbererKarl, Philippe Cudré-Maroux and Aris M. Ouksel, eds. Emergent Semantics Principles and Issues. IFIP 2.6 Working Group on Data Semantics: Research Group of Distributed Information Systems (SID), University of Zaragoza, 2004. http://sid.cps.unizar.es/PUBLICATIONS/POSTSCRIPTS/dasfaa04.pdf.",http://sid.cps.unizar.es/PUBLICATIONS/POSTSCRIPTS/dasfaa04.pdf,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/2/1/000019/000019.html,2008,Jan Nauta,Gerhard,As You Can See: Applying Visual Collaborative Filtering to Works of Art,DHQ,"de BraPaul, and Wolfgang Neijdl, eds. Adaptive Hypermedia and Adaptive Web-Based Systems. Vol. 3137. Lecture Notes in Computer Science. Berlin: Springer, 2004. http://www.springerlink.com/content/r21696v81c2a/.",http://www.springerlink.com/content/r21696v81c2a/,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/2/1/000019/000019.html,2008,Jan Nauta,Gerhard,As You Can See: Applying Visual Collaborative Filtering to Works of Art,DHQ,"Heylighen 1999. HeylighenFrancis. Collaborative Filtering. Principia Cybernetica Web. Principia Cybernetica Project, 1999. http://pespmc1.vub.ac.be/COLLFILT.html.",http://pespmc1.vub.ac.be/COLLFILT.html.,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/2/1/000019/000019.html,2008,Jan Nauta,Gerhard,As You Can See: Applying Visual Collaborative Filtering to Works of Art,DHQ,"Nauta 1993 NautaGerhard Jan. “HyperIconics: Hypertext and the Social Construction of Information about the History of Artistic Notions”. Knowledge Organization 20: 1 (1993), pp. 35-46. http://www.let.leidenuniv.nl/arthis/website/staf/nauta/archive/NautaGJ_Hypericonics_1993_300dpi.pdf.",http://www.let.leidenuniv.nl/arthis/website/staf/nauta/archive/NautaGJ_Hypericonics_1993_300dpi.pdf,"page doesn't exist, site doesn't exist"
http://digitalhumanities.org/dhq/vol/2/1/000019/000019.html,2008,Jan Nauta,Gerhard,As You Can See: Applying Visual Collaborative Filtering to Works of Art,DHQ,"O'Reilly 2006 O'Reilly, Tim. Google Image Labeler, the ESP Game, and Human-Computer Symbiosis. O'Reilly Radar (weblog). 2006. http://radar.oreilly.com/archives/2006/09/more_on_google_image_labeler.html.",http://radar.oreilly.com/archives/2006/09/more_on_google_image_labeler.html,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/2/1/000019/000019.html,2008,Jan Nauta,Gerhard,As You Can See: Applying Visual Collaborative Filtering to Works of Art,DHQ,"Sierra 2007 Sierra, Kathy. The 'Dumbness of Crowds'. Creating Passionate Users (weblog). 2007. http://headrush.typepad.com/creating_passionate_users/2007/01/the_dumbness_of.html.",http://headrush.typepad.com/creating_passionate_users/2007/01/the_dumbness_of.html,page exists
http://digitalhumanities.org/dhq/vol/3/1/000021/000021.html,2009,Crane,Gregory,Acknowledgements and Dedications,DHQ,,,
http://digitalhumanities.org/dhq/vol/3/1/000036/000036.html,2009,Nagy,Gregory,Foreword,DHQ,,,
http://digitalhumanities.org/dhq/vol/3/1/000024/000024.html,2009,Blackwell,Christopher,"Technology, Collaboration, and Undergraduate Research",DHQ,"ElliottT., et al. EpiDoc: Epigraphic Documents in TEI XML. http://epidoc.sourceforge.net",http://epidoc.sourceforge.net,"redirected, to same page"
http://digitalhumanities.org/dhq/vol/3/1/000024/000024.html,2009,Blackwell,Christopher,"Technology, Collaboration, and Undergraduate Research",DHQ,"Finkel, R., W. Hutton, P. Rourke, R. Scaife and E. Vandiver, eds. The Suda Online. The Stoa: a consortium for electronic publication in the humanities, 2001. http://www.stoa.org/",http://www.stoa.org/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000024/000024.html,2009,Blackwell,Christopher,"Technology, Collaboration, and Undergraduate Research",DHQ,"Mahoney, A., and R. Scaife. The Stoa: a consortium for electronic publication in the humanitie. 31 January 2003. http://www.stoa.org/",http://www.stoa.org/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000024/000024.html,2009,Blackwell,Christopher,"Technology, Collaboration, and Undergraduate Research",DHQ,"Oates, J.F., R.S. Bagnall, S.J. Clackson, A.A. O'Brien, J.D. Sosin, T.G. Wilfong and K.A. Worp. Checklist of Greek, Latin, Demotic and Coptic Papyri, Ostraca and Tablets. http://scriptorium.lib.duke.edu/papyrus/texts/clist.html",http://scriptorium.lib.duke.edu/papyrus/texts/clist.html,page exists
http://digitalhumanities.org/dhq/vol/3/1/000024/000024.html,2009,Blackwell,Christopher,"Technology, Collaboration, and Undergraduate Research",DHQ,"Pleasant, Hershal. Demosthenes 50. Dēmos: Classical Athenian Democracy. The Stoa: a consortium for electronic publication in the humanitie. Edited by A. Mahoney and R. Scaife. 31 January 2003. http://www.stoa.org/",http://www.stoa.org/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000026/000026.html,2009,Robertson,Bruce,Exploring Historical RDF with Heml,DHQ,"Crane, Gregory. “What Do You Do with A Million Books?”. D-Lib Magazine 12: 3 (2006). http://www.dlib.org/dlib/march06/crane/03crane.html",http://www.dlib.org/dlib/march06/crane/03crane.html,page exists
http://digitalhumanities.org/dhq/vol/3/1/000028/000028.html,2009,Smith,Neel,Citation in Classical Studies,DHQ,"van Thiel, Helmut. “Scholia D in Iliadem”. Preliminary publication online from http://kups.ub.uni-koeln.de/volltexte/2006/1810/",http://kups.ub.uni-koeln.de/volltexte/2006/1810/,"page doesn't exist, site exists"
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,"BosBert, Tantek Çelik, Ian Hickson and Håkon Wium Lie, eds. Cascading Style Sheets Level 2 Revision 1 (CSS 2.1) Specification. 2007. http://www.w3.org/TR/2007/CR-CSS21-20070719/",http://www.w3.org/TR/2007/CR-CSS21-20070719/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,"Bray, Tim, Jean Paoli, C.M. Sperberg-McQueen, Eve Maler and François Yergeau, eds. Extensible Markup Language (XML) 1.0. World Wide Web Consortium, 2006. http://www.w3.org/TR/2006/REC-xml-20060816/",http://www.w3.org/TR/2006/REC-xml-20060816/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,"Clark, James, and Steve DeRose, eds. XML Path Language (XPath). W3C Recommendation 16 November 1999. Word Wide Web Consortium, 1999. http://www.w3.org/TR/1999/REC-xpath-19991116/",http://www.w3.org/TR/1999/REC-xpath-19991116/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,"Colin, Matthew, Brian Harrison and Lawrence Goldman, eds. Oxford Dictionary of National Biography. Oxford: Oxford University Press, 2007. http://www.oxforddnb.com",http://www.oxforddnb.com,page exists
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,"Elliott, Tom, Lisa Anderson, Zaneta Au, Gabriel Bodard, John Bodel, Hugh Cayless, Charles Crowther, Julia Flanders, Ilaria Marchesi, Eli Mylonas and Charlotte Roueché. EpiDoc: Guidelines for Structured Markup of Epigraphic Texts in TEI. EpiDoc, 2007. http://www.stoa.org/epidoc/gl/5/",http://www.stoa.org/epidoc/gl/5/,page exists
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,"ReynoldsJoyce, Charlotte Roueché and Gabriel Bodard. Inscriptions of Aphrodisias. 2007. http://insaph.kcl.ac.uk/iaph2007/index.html",http://insaph.kcl.ac.uk/iaph2007/index.html,page exists
http://digitalhumanities.org/dhq/vol/3/1/000030/000030.html,2009,Cayless,Hugh,Epigraphy in 2017,DHQ,RouechéCharlotte. Aphrodisias in Late Antiquity: The Late Roman and Byzantine Inscriptions. 2004. http://insaph.kcl.ac.uk/ala2004/,http://insaph.kcl.ac.uk/ala2004/,page exists
